Florine, fhi98PP : TROULLIER-MARTINS, LDA CA PerdewWang, d-local
 9.000  7.000    021113              zatom,zion,pspdat
 6       7        2    2    477     0  pspcod,pspxc,lmax,lloc,mmax,r2well
 0.0     0.0     0.0                  rchrg, fchrg, qchrg



0.70000000000000E+01   3
  0.0000    0.0000    0.0000   0.0000
  0.0000    .00e+00   .00e+00
  0.0000    .00e+00   .00e+00
  0.0000    .00e+00   .00e+00
  0.0000    .00e+00   .00e+00
  0.0000    .00e+00   .00e+00
  0.0000    .00e+00   .00e+00
  0.0000    .00e+00   .00e+00
  0.0000    .00e+00   .00e+00
  0.0000    .00e+00   .00e+00
477  0.10247000000000E+01
   1 0.69444444444444E-03 0.12787052054370E-02 -.10316231259900E+02
   2 0.71159722222222E-03 0.13102892240113E-02 -.10316231597977E+02
   3 0.72917367361111E-03 0.13426533678444E-02 -.10316231912026E+02
   4 0.74718426334931E-03 0.13758169060302E-02 -.10316232201831E+02
   5 0.76563971465403E-03 0.14097995833719E-02 -.10316232467143E+02
   6 0.78455101560599E-03 0.14446216310916E-02 -.10316232707676E+02
   7 0.80392942569146E-03 0.14803037818050E-02 -.10316232923109E+02
   8 0.82378648250603E-03 0.15168672798768E-02 -.10316233113082E+02
   9 0.84413400862393E-03 0.15543338944516E-02 -.10316233277195E+02
  10 0.86498411863694E-03 0.15927259323625E-02 -.10316233415006E+02
  11 0.88634922636728E-03 0.16320662514103E-02 -.10316233526033E+02
  12 0.90824205225855E-03 0.16723782739715E-02 -.10316233609747E+02
  13 0.93067563094934E-03 0.17136860009427E-02 -.10316233665575E+02
  14 0.95366331903378E-03 0.17560140260289E-02 -.10316233692895E+02
  15 0.97721880301392E-03 0.17993875503848E-02 -.10316233691037E+02
  16 0.10013561074484E-02 0.18438323976180E-02 -.10316233659278E+02
  17 0.10260896033023E-02 0.18893750291618E-02 -.10316233596840E+02
  18 0.10514340165039E-02 0.19360425600288E-02 -.10316233502890E+02
